title,rating,runtime,imdb_rating,meta_score,genre,release_year,description,director,stars,votes,gross,img_src
Good Morning Christmas!,TV-G,86,6.9,,"Drama, Romance",2020,"Two squabbling TV hosts are sent to a festive small town over Christmas. While pretending to get along for the sake of appearances, they discover there's more to each other than they thought.",Paul Ziller,"Alison Sweeney, Marc Blucas, Nicole Oliver, Matthew James Dowden, ","1,780",,"https://m.media-amazon.com/images/M/MV5BNjgzMWM0NGMtZWY5OC00MWZhLWI3MTUtZmU5ZDA4Y2Y0MTBkXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas at Pemberley Manor,TV-G,84,6.2,,"Comedy, Romance",2018,A high-flying New York event planner is sent to a quaint small town to organize their Christmas festival.,Colin Theys,"Jessica Lowndes, Michael Rady, Ben Estus, Maddie McCormick, ","2,745",,"https://m.media-amazon.com/images/M/MV5BOTUxYmFiMmMtOTgxNC00YmFhLWI2NmYtZDBlMTI0YjdjNDc2XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas Bells Are Ringing,TV-G,88,6.4,,"Drama, Romance",2018,"A freelance photographer, on her way to Cape Cod to celebrate her father's Christmas Eve wedding, enlists the help of an old childhood friend to meet a deadline for a big Christmas spread that could ignite her career.",Pat Williams,"Emilie Ullerup, Josh Kelly, Mark Humphrey, Rebecca Staab, ","1,726",,"https://m.media-amazon.com/images/M/MV5BMDNjZmFmY2ItN2U2My00OWM0LWExOWUtZTIyMDc4YTQzYTdkXkEyXkFqcGdeQXVyNjk2Mjc2OTI@._V1_UY209_CR0,0,140,209_AL_.jpg"
A Gift Wrapped Christmas,TV-PG,87,7.1,,"Comedy, Drama, Family",2015,A personal shopper with a sunny disposition makes it her Christmas mission to melt the heart of her newest client - a workaholic widower and single parent.,Lee Friedlander,"Meredith Hagner, Travis Milne, Anna Van Hooft, Anthony Bolognese, ","1,886",,"https://m.media-amazon.com/images/M/MV5BYzhmZTI5MTMtM2Y5Ni00MjY3LTgyNmEtOGU5M2M0NjYxODUyXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR8,0,140,209_AL_.jpg"
Project Christmas Wish,TV-G,84,6.9,,"Drama, Family, Romance",2020,"For years Lucy has played Santa in her small-town community. As she grants a little girl's wish for a ""Christmas like it used to be,"" she unexpectedly finds her own wishes coming true.",Jeff Beesley,"Amanda Schull, Travis Van Winkle, Averie Peters, Amy Groening, ","1,481",,"https://m.media-amazon.com/images/M/MV5BNWZiMzcxYWMtYzgzMi00OTgwLWIyMjItZDliMzg5YzIyMDBmXkEyXkFqcGdeQXVyNTU2MDQyOTk@._V1_UX140_CR0,0,140,209_AL_.jpg"
Memories of Christmas,TV-G,120,6.1,,"Drama, Romance",2018,"At Christmastime, a young businesswoman travels to her childhood home with the intention of selling it, but instead finds a renewed love for the holidays.",Tibor Takács,"Christina Milian, Mark Taylor, Jaime M. Callica, Garry Chalk, ",794,,"https://m.media-amazon.com/images/M/MV5BMTRjZTJkOWEtMjk0Yy00OTM2LTk5YmUtYjM4MzNhOGMwOWIxXkEyXkFqcGdeQXVyMjQ3NTEwMzE@._V1_UX140_CR0,0,140,209_AL_.jpg"
Snowglobe,TV-PG,86,5.9,,"Comedy, Family, Fantasy",2007,A young woman discovers a Christmas-themed dreamworld inside a magical snowglobe.,Ron Lagomarsino,"Christina Milian, Erin Karpluk, Hilda Doherty, Jason Schombing, ","2,741",,"https://m.media-amazon.com/images/M/MV5BZDk3OGNiZWUtNjdiOS00ZmI3LWE4YzctNDQzODE4ODQ2NzM1L2ltYWdlXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY209_CR8,0,140,209_AL_.jpg"
Love's Christmas Journey,TV-G,171,6.4,,"Drama, Family, Romance",2011,"While mourning the loss of her husband and daughter, recently widowed Ellie King (Natalie Hall) visits her brother Aaron Davis (Greg Vaughan) and his children for Christmas. Ellie does her ...                See full summary »",David S. Cass Sr.,"Natalie Hall, JoBeth Williams, Greg Vaughan, Dylan Bruce, ",811,,"https://m.media-amazon.com/images/M/MV5BMGNmMmM2YWEtMjJiNS00MGEwLTgyNjQtNWZmZGQxMzY5NTUwXkEyXkFqcGdeQXVyMjAzMjcxNTE@._V1_UY209_CR4,0,140,209_AL_.jpg"
If I Only Had Christmas,TV-G,84,6.3,,"Drama, Romance",2020,"At Christmas, a cheerful publicist teams up with a cynical VP and his eclectic team to help a charity in need.",David Weaver,"Candace Cameron Bure, Warren Christie, Jordana Largy, Brenda Crichlow, ","1,718",,"https://m.media-amazon.com/images/M/MV5BYWZmMDkzODItNzE3OC00MmRmLWEwYWMtMmIwNTQ4ZDk4ODhmXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Time for You to Come Home for Christmas,TV-G,84,7,,"Drama, Romance",2019,"A recent widow travels with her son to her Virginia hometown for Christmas. On the way they meet a man who is heading to the same destination. As they continue to spend time together, the pair grows closer.",Terry Ingram,"Alison Sweeney, Lucas Bryant, Kiefer O'Reilly, Britt Irvin, ","1,268",,"https://m.media-amazon.com/images/M/MV5BMWI2ZmRhM2UtZWQ2NC00Y2NkLTg5NmMtN2I5YmI4MzBhMWIzXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Boyfriends of Christmas Past,TV-G,84,6,,"Comedy, Fantasy, Romance",2021,"Leading up to Christmas, Lauren is visited by the ghosts of three ex-boyfriends. She must learn to open her heart or risk losing her best friend, Nate.",Don McBrearty,"Catherine Haena Kim, Raymond Ablack, Jenna Katz, Paul Sun-Hyung Lee, ","1,334",,"https://m.media-amazon.com/images/M/MV5BZmRlZDAyMWQtZWFhZC00YTNjLTliYTEtYjBiN2M3MGVkM2JiXkEyXkFqcGdeQXVyODcyMTQ4MTc@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Homecoming for the Holidays,TV-G,84,6.6,,"Drama, Family, Romance",2019,"Country singer Charlotte is home for the holidays and brother Ryan's fellow ex-soldier Matt is in town. Writing her new album, Charlotte works with Matt to build a house for a friend in town.",Catherine Cyran,"Laura Osnes, Stephen Huszar, P. Lynn Johnson, Jan Bos, ","1,015",,"https://m.media-amazon.com/images/M/MV5BNDAxZGU0NDgtNjUwZC00ZGY5LTgwNzAtODNiMDQxZGY5M2I2XkEyXkFqcGdeQXVyODc5Mjc4Nzg@._V1_UX140_CR0,0,140,209_AL_.jpg"
Open by Christmas,TV-G,84,6.8,,Romance,2021,"When Nicky finds an unopened Christmas card from a high school secret admirer, she and her best friend Simone search to find and thank the anonymous author.",David Weaver,"Alison Sweeney, Erica Durance, Brennan Elliott, Michael Karl Richards, ","1,447",,"https://m.media-amazon.com/images/M/MV5BNjI3NzljMzEtZDQ1Yi00MTAwLWEwNDYtMzJjNWVkNGY3NzhkXkEyXkFqcGdeQXVyMDY5ODA0Mg@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Undercover Holiday,TV-G,84,5.4,,"Comedy, Family, Romance",2022,"When returning home for the holidays, newly minted pop star Jaylen tells her protective family that her overzealous security guard Matt is, in fact, her new beau.",Bradley Walsh,"Noemi Gonzalez, Stephen Huszar, Ann Pirvu, Gabriela Reynoso, ",773,,"https://m.media-amazon.com/images/M/MV5BMTM2NWZmMmYtNDZkMS00YzU4LTgzZjgtZWI1ZmE3ZDg2OTAzXkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg"
A Christmas to Remember,TV-G,84,6.5,,"Comedy, Drama, Romance",2016,"Following a car accident which leaves her with a bout of amnesia, a celebrity chef gets stranded in a small town over the Christmas season.",David Weaver,"Mira Sorvino, Cameron Mathison, Jesse Filkow, Bailey Skodje, ","2,679",,"https://m.media-amazon.com/images/M/MV5BZmE5MmUwOGYtNzE2Yy00ZGJmLTliZDMtMmYzOGIzZjFkODdhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjcxODY3MTc@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas Under the Stars,TV-G,82,6.7,,"Drama, Romance",2019,A Christmas-tree lot helps two people rediscover their holiday spirit.,Allan Harmon,"Jesse Metcalfe, Autumn Reeser, Clarke Peters, Anthony Bolognese, ","2,317",,"https://m.media-amazon.com/images/M/MV5BYTA3NWE2YjktYzFjNC00OThjLTgzODYtOTdkMzBiNjhmNTI5XkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Rocky Mountain Christmas,TV-G,90,6.5,,Romance,2017,"After her breakup with a famous tech entrepreneur makes national headlines, Sarah returns to her uncle's ranch to escape the spotlight where she crosses paths with a Hollywood actor who's looking to prepare for an upcoming role.",Tibor Takács,"Kristoffer Polaha, Lindy Booth, Treat Williams, Chris McNally, ","1,847",,"https://m.media-amazon.com/images/M/MV5BYWIyMDgxZGMtMjJmZi00NGM0LWJiOTAtODNkZThiODRlOTZlXkEyXkFqcGdeQXVyMTYwODk0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Mistletoe Match,TV-PG,90,6,,"Comedy, Romance",2022,"Journalist Olivia goes undercover to the successful Mistletoe Match event. There, she meets single dad, widower Thomas. Sparks soon fly, but with a promotion on the line, will she risk losing it all for the romance she never saw coming?",Graeme Campbell,"Elena Juatco, Ryan Bruce, AnnaMaria Demara, Catherine McGregor, ",334,,"https://m.media-amazon.com/images/M/MV5BNzg5YWM2ZGMtYTQyNC00NWIyLWJhZjgtOWY3ZDVhNWZlYjQxXkEyXkFqcGdeQXVyMTQyNDk2NzE@._V1_UY209_CR2,0,140,209_AL_.jpg"
A Wish For Christmas,TV-G,84,5.9,,"Drama, Family, Fantasy",2016,"Sara Thomas is the type of woman who prefers to sit on the sidelines at work, but when her big idea for a Christmas initiative is stolen, she makes a wish to Santa that she'll finally have ...                See full summary »",Christie Will Wolf,"Lacey Chabert, Paul Greene, Andrea Brooks, Colleen Wheeler, ","5,057",,"https://m.media-amazon.com/images/M/MV5BZGRhYTc2ZmUtNGFiZS00YzM3LWEwMDMtZTYwNmQ5YTAzMzY2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas Cookies,TV-G,84,6.4,,"Drama, Romance",2016,"A corporate agent is sent to a small town to buy a cookie company and shut down its factory. When she starts falling in love with the factory's owner, the town's Christmas spirit over takes her.",James Head,"Jill Wagner, Wes Brown, P. Lynn Johnson, Chris Gauthier, ","2,556",,"https://m.media-amazon.com/images/M/MV5BYzdlOTUwYzItMjhkNC00M2ZkLTg2NzItNzI1ZmE0Zjk0YzhkXkEyXkFqcGdeQXVyNTYzNzcxMDc@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Very Nutty Christmas,TV-PG,90,5.9,,"Comedy, Fantasy, Romance",2018,"After getting dumped by her boyfriend, a bakery owner receives a special gift that turns her Christmas season around.",Colin Theys,"Melissa Joan Hart, Barry Watson, Marissa Jaret Winokur, Rizwan Manji, ","1,530",,"https://m.media-amazon.com/images/M/MV5BMjhlOWRhOTItZGMwYi00ZGVlLTg1MjAtOWY2NDZlMzlmOWU1XkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR2,0,140,209_AL_.jpg"
Too Close For Christmas,G,88,5.7,,"Drama, Romance",2020,A woman's feelings start to change when she reluctantly spends Christmas with the man responsible for ending her last relationship.,Ernie Barbarash,"Chad Michael Murray, Jessica Lowndes, Vanessa Sears, Steve Byers, ","2,928",$0.01M,"https://m.media-amazon.com/images/M/MV5BNDI4MjI3MTAtZGM1YS00MzEyLTk0YjYtM2FjN2I4YzlmMjk0XkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_UX140_CR0,0,140,209_AL_.jpg"
The Gift of Peace,TV-G,84,7.2,,"Comedy, Drama, Family",2022,"After her husband's death, long-time devoted Christian Traci stops believing, and on her second Christmas without him, she visits a support group in search of comfort and inspiration.",Fred Gerber,"Nikki Deloach, Brennan Elliott, Princess Davis, Cardi Wong, ",775,,"https://m.media-amazon.com/images/M/MV5BNWFkYjVhNzgtYjQ2YS00ZjRiLWFkY2MtMzIxNDYwMDAwMmE1XkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg"
Angels and Ornaments,TV-G,84,6.7,,"Family, Fantasy, Romance",2014,Three suitors pursue a hopeless romantic after she makes a wish to find true love before Christmas,Alan Goluboff,"Jessalyn Gilsig, Sergio Di Zio, Graham Abbey, Roger Doche, ","1,339",,"https://m.media-amazon.com/images/M/MV5BZTcwZWVjODItM2ExYi00NDYxLTk5MjItZGJhNDA2M2RmYTE5XkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg"
Winnie the Pooh: A Very Merry Pooh Year,G,65,6.6,,"Animation, Comedy, Drama",2002,Ring in the season with Winnie The Pooh in a holiday adventure.,Gary Katona,"Ed Wexler, Jamie Mitchell, Jim Cummings, Peter Cullen, John Fiedler, Michael Gough, ","2,968",,"https://m.media-amazon.com/images/M/MV5BYjU4NGNkNTctMGIwYy00ZGU3LTkwNGYtMjljN2JlOGUwNGRkXkEyXkFqcGdeQXVyODc5NjY4MzU@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas She Wrote,TV-G,84,5.8,,"Drama, Romance",2020,"Kaleigh is fired as popular column writer by the new editor at The Globe in NYC. She heads to her sister near Tahoe, CA, and helps in her bakery the weeks before Xmas. The single editor shows up - to right a wrong.",Terry Ingram,"Danica McKellar, Dylan Neal, April Telek, Andrew Francis, ","1,245",,"https://m.media-amazon.com/images/M/MV5BM2Y5ODg3M2YtZTM5ZC00NTBhLTllNzYtMWExY2E0N2E2YjU5XkEyXkFqcGdeQXVyNTU2MDQyOTk@._V1_UX140_CR0,0,140,209_AL_.jpg"
Sister Swap: Christmas in the City,TV-G,84,5.9,,"Comedy, Romance",2021,Two sisters find a new sense of purpose and discover what they both truly need in life during the holidays.,Sean McNamara,"Ashley Williams, Kevin Nealon, Keith D. Robinson, Kimberly Williams-Paisley, ","1,060",,"https://m.media-amazon.com/images/M/MV5BZGE2ZWI4MzMtYzBhZC00NTIzLTgwMDktNzE5OTU3MmU5MjQ4XkEyXkFqcGdeQXVyNDEzMjAyNQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas Wishes and Mistletoe Kisses,TV-G,84,6.5,,"Drama, Family, Romance",2019,An interior designer is hired to decorate a lavish mansion over the Christmas season.,D.J. Viola,"Jill Wagner, Matthew Davis, Brandon Quinn, Donna Mills, ","1,884",,"https://m.media-amazon.com/images/M/MV5BZTUyZTc0OGItZmU0Ny00OTBkLThjY2YtNGVjNGFkYjZmMTZjXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Hope at Christmas,TV-G,84,6.5,,"Comedy, Drama, Romance",2018,"Divorced Sydney inherits a house from her grandma. Seeing it with her 8 y.o. daughter, she stops at the bookstore and meets a single teacher there. She ends up helping out there for the Christmas season.",Alex Wright,"Scottie Thompson, Ryan Paevey, Erica Tremblay, Colleen Winton, ","1,560",,"https://m.media-amazon.com/images/M/MV5BZmVkMGRhYzktYjk5My00MGE3LWFjNzUtNjgxYTQ1NDFlY2E4XkEyXkFqcGdeQXVyNTU2MDQyOTk@._V1_UX140_CR0,0,140,209_AL_.jpg"
Nantucket Noel,TV-G,86,5.9,,Romance,2021,"Christina learns of a developer who is planning to tear down the wharf that is home to her toy store. Tensions rise as she falls for the developer's son, Andy.",Kirsten Hansen,"Sarah Power, Trevor Donovan, Payton Lepinski, Daniel Bacon, ","1,071",,"https://m.media-amazon.com/images/M/MV5BNGQ2YzFlYTgtZTNkNi00MjliLTg1MGEtNzUzNDNjYzVmZGM2XkEyXkFqcGdeQXVyODcyMTQ4MTc@._V1_UX140_CR0,0,140,209_AL_.jpg"
My Best Friend's Christmas,TV-G,90,5.1,,"Comedy, Drama, Romance",2019,"When a woman returns home to find her ex in a relationship, she enlists her best friend to act as her fake boyfriend.",Jake Helgren,"Breanne Hill, Colton Little, Tanner Novlan, Masiela Lusha, ",584,,"https://m.media-amazon.com/images/M/MV5BMzhhNjZlMTMtNzZlZC00NjRhLTgwZjAtOGE0YWQwNDZlYjgzXkEyXkFqcGdeQXVyMTQyODAxMw@@._V1_UY209_CR8,0,140,209_AL_.jpg"
On the Twelfth Day of Christmas,TV-G,84,6.8,,"Comedy, Romance",2015,"Maggie is thrilled when her long-time crush Mitch moves back to town. When she learns that Mitch's love for Christmas has drastically changed, she tries to bring back his holiday spirit by showing him the magic of Christmas.",Harvey Crossland,"Brooke Nevin, Robin Dunne, Dani Kind, Geri Hall, ","2,198",,"https://m.media-amazon.com/images/M/MV5BN2UwNzI4NWEtZWI3Yi00Y2IxLTg5Y2ItYTUxYTEyYTZlMWY1XkEyXkFqcGdeQXVyNjE4MjY2MDg@._V1_UY209_CR3,0,140,209_AL_.jpg"
The Christmas Box,G,100,7,,"Drama, Fantasy",1995,"A ski shop owner reluctantly moves himself, his wife, and their daughter into an estate as live-in help for an elderly widow. While struggling to balance his career and family life, he has recurring dreams about an angel.",Marcus Cole,"Richard Thomas, Maureen O'Hara, Annette O'Toole, Kelsey Mulrooney, ","1,285",,"https://m.media-amazon.com/images/M/MV5BNmUyMmMxNTctYjBkMC00ZjY5LTk1ZTUtN2M1Y2ZkNDE0YmEyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY209_CR8,0,140,209_AL_.jpg"
"It's Christmas, Carol!",TV-G,87,5.8,,"Drama, Family, Fantasy",2012,"It's Christmas Eve in Chicago and heartless tyrant publishing exec Carol is haunted by her dead ex boss, who's the ghost of Christmas past, present and future.",Michael M. Scott,"Emmanuelle Vaugier, Carrie Fisher, Olivia Cheng, Tygh Runyan, ","1,034",,"https://m.media-amazon.com/images/M/MV5BYzIzMWVhYjktYTA1ZC00OWUwLWExNjUtMGYyMmQ2OGRhZGEwXkEyXkFqcGdeQXVyMzg0NTU0NjM@._V1_UY209_CR1,0,140,209_AL_.jpg"
The Holiday Stocking,TV-G,84,6.7,,"Comedy, Drama, Family",2022,"New angel R.J. returns to earth as a stranger and has the chance to help his sisters to reconcile, something he didn't accomplish in his lifetime.",Roger M. Bobb,"Nadine Ellis, Tamala Jones, B.J. Britt, Karon Riley, ",512,,"https://m.media-amazon.com/images/M/MV5BOTRmYTQ1MDYtOTVkYy00MDc2LTkwYzgtMmVhNTAyYzllY2NjXkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas Reservations,TV-PG,86,6,,"Comedy, Drama, Romance",2019,"It's Christmas at the Treeline Ski Resort, where Holly is the event coordinator at her family lodge.",Deanne Foley,"Melissa Joan Hart, Michael Gross, Christopher Quartuccio, Gigi Rice, ",928,,"https://m.media-amazon.com/images/M/MV5BYjMzYjJhMDktOGRmZC00ZTRhLWFmNmUtNDdiNTdmZTZjMjdkXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UY209_CR9,0,140,209_AL_.jpg"
Married by Christmas,TV-PG,87,5.5,,"Comedy, Romance",2016,A high-level executive must find herself a husband before Christmas in order to inherit a fortune.,Letia Clouston,"Jes Macallan, Coby Ryan McLaughlin, April Bowlby, James Eckhouse, ","1,380",,"https://m.media-amazon.com/images/M/MV5BMDFjMjdjMWYtMmI4MC00NzgwLWJhYzQtMmM1YTY4YWRmMTI1XkEyXkFqcGdeQXVyNjUzNTE3MjY@._V1_UY209_CR0,0,140,209_AL_.jpg"
Christmas in Angel Falls,TV-G,84,6.5,,"Comedy, Drama, Fantasy",2017,"Guardian angel Gabby is sent to Angel Falls to revive the town's forgotten Christmas spirit, and unexpectedly finds love in the process.",Bradley Walsh,"Rachel Boston, Paul Greene, Beau Bridges, Allison Hossack, ","1,727",,"https://m.media-amazon.com/images/M/MV5BMmZjNThlYmEtOTY1NC00NzI1LTg2ZTktZWEyNGMwYWU1MThlXkEyXkFqcGdeQXVyNTU2MDQyOTk@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Royal Queens Christmas,TV-G,84,6.4,,"Drama, Romance",2021,A prince finds his way to Queens during Christmas when a local woman enlists his help with a children's Christmas show.,Lee Friedlander,"Megan Park, Julian Morris, Michael Hanrahan, Nicola Correia-Damude, ","1,450",,"https://m.media-amazon.com/images/M/MV5BOWU5N2U3MWItMGYyMi00ODFhLWEwODQtNzQxZjljMDkwYmI4XkEyXkFqcGdeQXVyMTEwMTQ0Njk3._V1_UX140_CR0,0,140,209_AL_.jpg"
The Last Christmas Home,TV-G,82,5.8,,"Drama, Family, Romance",2018,The Marvin sisters gather for what may be their last Christmas at their childhood home.,David Jackson,"Erin Cahill, Justin Bruening, Catherine Corcoran, Alan Pontes, ","1,115",,"https://m.media-amazon.com/images/M/MV5BZDA3NTdjNmQtYjNlNi00NDUyLWI3MmYtNTNiZTIxZGM4MGE5XkEyXkFqcGdeQXVyNTU2MDQyOTk@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas in Conway,TV-PG,97,6.7,,"Drama, Romance",2013,Duncan Mayor loved Susie so much he wanted to give her one last Christmas gift before she passes away. He didn't care about any consequences or anything else.,John Kent Harrison,"Andy Garcia, Mandy Moore, Cheri Oteri, Riley Smith, ","2,066",,"https://m.media-amazon.com/images/M/MV5BNGU0YjkzZGUtYjI2Ni00ZGFiLTk1ZjYtMzQ5OTQyODM1YmRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UY209_CR8,0,140,209_AL_.jpg"
My Christmas Inn,TV-G,100,5.6,,"Comedy, Drama, Romance",2018,A big city advertising executive inherits her great-aunt's inn and heads to the small Alaskan town where it's located to get it ready for sale.,Peter Sullivan,"Tia Mowry, Rob Mayes, Jackée Harry, Tim Reid, ","2,415",,"https://m.media-amazon.com/images/M/MV5BMDk0N2IzODAtODU0NS00MmViLTkwZGUtZWFiNmYzMzE0ZDg3XkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UY209_CR11,0,140,209_AL_.jpg"
Once Upon a Main Street,TV-PG,87,6.3,,"Comedy, Drama, Romance",2020,"Amelia, who wants to open a year-round Christmas store, bids for a shop lot against Vic, who wants to open a chocolate shop. Rivalry becomes romance when they must work together.",Polly Draper,"Vanessa Lachey, Ryan McPartlin, Polly Draper, Scott Takeda, ",828,,"https://m.media-amazon.com/images/M/MV5BMDhiYmMzNjctYTM2MC00ZmQ2LTk5MGMtNDc3ZjdlZTRlODkwXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas on the Menu,TV-PG,88,6.3,,"Comedy, Drama, Romance",2020,"Celebrated chef Josie heads home for the holidays and creates a special festive menu for her mom's new bed-and-breakfast bistro, where she runs into Tanner, the famous food critic who ...                See full summary »",Jake Helgren,"Kim Shaw, Clayton James, Cynthia Gibb, Katrina Norman, ",698,,"https://m.media-amazon.com/images/M/MV5BN2RmN2UwYWQtMDJjYy00MTUzLWEyMTAtYzcwYTJhZDQzMzk4XkEyXkFqcGdeQXVyMTQyODAxMw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Candy Cane Christmas,TV-PG,91,5.6,,"Comedy, Drama, Romance",2020,"As Phoebe is searching for a new tradition to lift her holiday spirits, she realizes that it's not the traditions we cherish, but the people with whom we share them.",Adrian Langley,"Beverley Mitchell, Mark Ghanimé, Derek Johns, Benedicte Belizaire, ",755,,"https://m.media-amazon.com/images/M/MV5BMWM1NmUwNGYtZDRhYi00Zjg2LWIwYjQtN2E1ODUyOTQzN2E1XkEyXkFqcGdeQXVyMTQyNDk2NzE@._V1_UY209_CR2,0,140,209_AL_.jpg"
Christmas Eve,PG,95,5,24,Comedy,2015,"Hilarity, romance, and transcendence prevail after a power outage traps six different groups of New Yorkers inside elevators on Christmas Eve.",Mitch Davis,"Patrick Stewart, Jon Heder, James Roday Rodriguez, Cheryl Hines, ","2,796",,"https://m.media-amazon.com/images/M/MV5BMTY0MjEyMzQ1Nl5BMl5BanBnXkFtZTgwMTEwMjkxNzE@._V1_UY209_CR1,0,140,209_AL_.jpg"
Once Upon a Holiday,TV-G,84,6.2,,"Comedy, Drama, Romance",2015,"When a Princess escapes her entourage to explore New York City over Christmas, she meets a young man who shows the beautiful stranger his side of the city.",James Head,"Briana Evigan, Paul Campbell, Greg Evigan, Jacqueline Samuda, ","3,515",,"https://m.media-amazon.com/images/M/MV5BNjE2NWNmNTMtNzdhMi00YzhkLTkzMzYtN2IwYzk4YTI0YjBmXkEyXkFqcGdeQXVyNzk0NTA5NQ@@._V1_UY209_CR4,0,140,209_AL_.jpg"
The Perfect Christmas Present,TV-G,82,6.3,,"Drama, Romance",2017,"Tom is called Mr. Christmas due to his ability to determine the perfect Christmas gift for someone, befitting their personality.",Blair Hayes,"Sam Page, Tara Holt, Sam Guinan-Nyhart, Emily Peterson, ","1,859",,"https://m.media-amazon.com/images/M/MV5BYTI3OTQ2NmEtNWQwMi00OTBhLTg1ZDAtYzA2MTVhZGQwNmNlXkEyXkFqcGdeQXVyMjAzMjcxNTE@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas for a Dollar,PG,101,7,,"Drama, Family",2013,A family struggling to get by during the Depression expects another presentless Christmas until the father brings home a dollar for them to spend on presents.,John Lyde,"Brian Krause, Nancy Stafford, Danielle C. Ryan, Heather Beers, ",691,,"https://m.media-amazon.com/images/M/MV5BMjA0NTE3Mjk5Ml5BMl5BanBnXkFtZTgwODU3NTkxNzE@._V1_UY209_CR8,0,140,209_AL_.jpg"
Under the Christmas Tree,TV-PG,87,5.7,,"Drama, Romance",2021,"Alma and Charlie cross paths with each other, when Charlie finds the perfect tree for the Maine Governor's Holiday Celebration right in Alma's back yard.",Lisa Rose Snow,"Elise Bauman, Tattiawna Jones, Wendy Crewson, Enrico Colantoni, ",905,,"https://m.media-amazon.com/images/M/MV5BODRkY2NmMmItYjM4MS00OTllLWEzZWEtNjVkNjBlNDJjN2NiXkEyXkFqcGdeQXVyMjIzOTA2NDk@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas at the Palace,TV-G,85,6.3,,Romance,2018,A king who is struggling to live up to his father's name hires an ice skating choreographer for a special Christmas Eve performance to celebrate the founding of his nation.,Peter Hewitt,"Merritt Patterson, Andrew Cooper, Brittany Bristow, Nicholas Banks, ","2,502",,"https://m.media-amazon.com/images/M/MV5BMWM3NmVhYTUtYjdjMS00NGZmLWFiMmEtMGMxNDRjMTc3Njg5XkEyXkFqcGdeQXVyODA4MzkyNjM@._V1_UX140_CR0,0,140,209_AL_.jpg"
Merry Liddle Christmas,TV-G,87,5.9,,"Comedy, Drama, Romance",2019,A woman trying to get her dysfunctional family to look picture-perfect for the holidays falls in love with her neighbor amid the chaos.,Bosede Williams,"Thomas Cadrot, Jaime M. Callica, Thalia Campbell, Jeff Gonek, ",673,,"https://m.media-amazon.com/images/M/MV5BYmI3ZDg1MDgtNjQzYi00ZDI2LTk2OGMtMDcyZjYzMjYxYjdiXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UY209_CR0,0,140,209_AL_.jpg"
